Product Category,Total Amount,stock,Date
SKU038,3,61,20-02-2025
SKU093,4,70,02-03-2025
SKU046,3,87,29-01-2025
SKU018,6,86,21-01-2025
SKU056,8,63,11-03-2025
SKU022,0,90,20-01-2025
SKU082,4,70,13-02-2025
SKU020,5,59,13-01-2025
SKU075,5,29,27-02-2025
SKU083,12,24,06-01-2025
SKU068,5,87,15-01-2025
SKU097,5,36,23-02-2025
SKU054,3,29,21-01-2025
SKU002,6,67,28-02-2025
SKU081,6,85,24-01-2025
SKU056,6,37,03-01-2025
SKU029,5,27,15-02-2025
SKU069,2,45,02-02-2025
SKU026,4,86,12-01-2025
SKU045,7,64,16-03-2025
SKU033,5,53,06-03-2025
SKU069,5,62,29-03-2025
SKU023,4,65,07-03-2025
SKU041,5,34,06-01-2025
SKU016,11,54,23-01-2025
SKU076,11,39,31-01-2025
SKU031,5,83,27-03-2025
SKU095,5,68,28-02-2025
SKU046,4,85,29-03-2025
SKU097,4,40,22-02-2025
SKU051,4,80,17-01-2025
SKU004,3,69,08-02-2025
SKU026,5,28,04-02-2025
SKU022,4,77,25-02-2025
SKU017,5,67,11-01-2025
SKU023,5,58,29-03-2025
SKU052,3,23,11-01-2025
SKU063,5,39,26-03-2025
SKU049,7,98,04-01-2025
SKU080,6,68,05-01-2025
SKU037,5,96,29-01-2025
SKU087,5,75,13-03-2025
SKU066,3,51,15-03-2025
SKU057,5,60,17-02-2025
SKU012,3,79,05-02-2025
SKU007,7,69,22-01-2025
SKU014,3,33,22-03-2025
SKU026,9,43,13-02-2025
SKU010,9,89,03-01-2025
SKU072,5,70,21-02-2025
SKU004,5,66,24-01-2025
SKU087,6,54,18-02-2025
SKU071,5,73,15-03-2025
SKU093,3,36,20-01-2025
SKU024,1,83,20-01-2025
SKU037,10,42,12-03-2025
SKU003,6,85,28-03-2025
SKU063,2,87,05-03-2025
SKU081,9,36,31-01-2025
SKU073,4,78,16-01-2025
SKU025,10,90,26-02-2025
SKU080,4,20,02-02-2025
SKU043,5,45,14-01-2025
SKU061,4,73,10-01-2025
SKU043,3,41,01-02-2025
SKU091,3,28,21-02-2025
SKU050,1,62,21-03-2025
SKU012,7,76,25-01-2025
SKU016,13,23,19-02-2025
SKU024,8,21,24-01-2025
SKU004,5,20,16-02-2025
SKU079,3,62,26-01-2025
SKU041,6,60,26-02-2025
SKU003,4,80,25-02-2025
SKU030,5,47,08-01-2025
SKU074,3,21,02-01-2025
SKU037,8,83,19-03-2025
SKU005,6,27,31-03-2025
SKU053,5,95,25-01-2025
SKU064,5,45,01-02-2025
SKU098,4,27,01-02-2025
SKU027,3,59,25-01-2025
SKU085,5,81,27-03-2025
SKU093,6,70,29-01-2025
SKU027,5,89,21-01-2025
SKU011,3,46,22-02-2025
SKU039,6,21,25-03-2025
SKU072,9,60,26-03-2025
SKU016,5,95,25-02-2025
SKU008,6,63,26-02-2025
SKU052,2,98,29-03-2025
SKU100,5,45,09-01-2025
SKU096,5,83,11-03-2025
SKU085,2,86,15-01-2025
SKU066,4,66,20-03-2025
SKU068,5,82,03-01-2025
SKU005,2,82,21-01-2025
SKU016,5,74,06-02-2025
SKU036,7,78,12-03-2025
SKU067,3,33,09-02-2025
SKU047,10,52,11-01-2025
SKU025,1,24,03-01-2025
SKU012,5,64,03-03-2025
SKU053,4,34,02-03-2025
SKU098,6,28,16-01-2025
SKU009,6,45,25-03-2025
SKU019,3,86,16-01-2025
SKU003,6,20,18-02-2025
SKU091,5,50,02-03-2025
SKU019,3,88,04-03-2025
SKU082,4,35,07-02-2025
SKU065,6,82,01-01-2025
SKU004,5,54,24-03-2025
SKU008,5,79,28-01-2025
SKU065,11,80,01-03-2025
SKU071,4,78,03-03-2025
SKU084,9,79,05-03-2025
SKU012,4,80,03-01-2025
SKU060,6,23,22-03-2025
SKU058,0,33,05-03-2025
SKU049,7,36,11-01-2025
SKU042,4,35,28-02-2025
SKU088,6,29,17-02-2025
SKU052,2,50,02-03-2025
SKU052,5,48,30-01-2025
SKU091,10,94,20-03-2025
SKU001,4,84,11-03-2025
SKU026,4,85,04-01-2025
SKU001,7,91,18-03-2025
SKU018,4,75,11-01-2025
SKU003,3,68,24-03-2025
SKU058,7,38,11-02-2025
SKU069,1,39,15-02-2025
SKU004,4,32,14-02-2025
SKU031,7,28,01-01-2025
SKU061,7,70,23-03-2025
SKU040,3,40,03-01-2025
SKU089,6,57,21-01-2025
SKU089,2,94,08-01-2025
SKU053,5,93,27-01-2025
SKU011,4,79,07-02-2025
SKU058,3,34,01-03-2025
SKU011,4,89,06-01-2025
SKU024,5,73,26-03-2025
SKU045,7,31,07-02-2025
SKU013,3,43,30-03-2025
SKU025,2,65,01-01-2025
SKU032,5,35,19-01-2025
SKU018,7,49,14-03-2025
SKU093,4,67,07-01-2025
SKU081,4,59,06-03-2025
SKU081,5,78,04-02-2025
SKU079,5,36,14-03-2025
SKU086,11,75,18-01-2025
SKU097,7,75,18-01-2025
SKU070,10,23,07-02-2025
SKU079,3,70,23-01-2025
SKU033,3,61,08-02-2025
SKU001,6,76,13-03-2025
SKU078,6,30,26-01-2025
SKU093,5,34,06-01-2025
SKU033,5,62,22-03-2025
SKU070,5,77,31-03-2025
SKU022,9,70,05-03-2025
SKU018,10,63,23-02-2025
SKU062,8,94,27-01-2025
SKU041,4,64,02-01-2025
SKU091,4,73,16-03-2025
SKU010,3,32,05-02-2025
SKU063,3,78,07-01-2025
SKU062,4,98,02-02-2025
SKU038,2,98,16-01-2025
SKU084,4,62,09-02-2025
SKU078,7,74,20-02-2025
SKU085,4,73,21-03-2025
SKU086,3,30,26-02-2025
SKU041,6,32,31-01-2025
SKU059,2,53,05-02-2025
SKU054,5,42,22-01-2025
SKU090,5,74,23-03-2025
SKU070,5,72,17-01-2025
SKU027,6,36,26-01-2025
SKU041,5,20,11-03-2025
SKU006,9,85,21-01-2025
SKU041,5,96,07-01-2025
SKU060,6,32,12-02-2025
SKU034,9,94,05-01-2025
SKU007,7,65,16-03-2025
SKU020,5,66,01-02-2025
SKU053,3,89,14-03-2025
SKU044,7,69,16-02-2025
SKU019,5,89,16-03-2025
SKU042,4,90,11-02-2025
SKU040,6,55,15-01-2025
SKU090,4,51,09-02-2025
SKU011,6,74,17-02-2025
SKU034,6,94,09-02-2025
SKU090,7,20,19-03-2025
SKU018,4,38,10-02-2025
SKU097,2,21,30-03-2025
SKU031,7,97,31-03-2025
SKU038,3,96,26-03-2025
SKU052,3,96,18-01-2025
SKU063,6,31,28-01-2025
SKU071,1,46,24-02-2025
SKU010,6,85,14-01-2025
SKU035,10,21,21-02-2025
SKU020,4,83,17-02-2025
SKU016,7,58,02-03-2025
SKU008,5,92,09-02-2025
SKU039,2,89,12-02-2025
SKU067,7,91,04-03-2025
SKU006,4,38,11-02-2025
SKU095,3,93,22-01-2025
SKU050,3,33,04-01-2025
SKU028,9,22,13-01-2025
SKU014,7,60,31-01-2025
SKU097,5,83,31-03-2025
SKU097,3,94,08-03-2025
SKU053,6,98,18-03-2025
SKU009,10,94,01-03-2025
SKU095,7,74,28-03-2025
SKU082,6,38,23-03-2025
SKU073,5,95,20-01-2025
SKU052,2,68,14-01-2025
SKU095,4,77,11-03-2025
SKU050,8,25,23-02-2025
SKU011,8,81,09-01-2025
SKU001,4,53,26-03-2025
SKU065,4,52,25-01-2025
SKU018,4,51,31-01-2025
SKU023,5,93,14-02-2025
SKU083,1,52,18-01-2025
SKU042,7,25,09-01-2025
SKU032,5,28,23-02-2025
SKU039,6,22,07-03-2025
SKU051,8,33,06-01-2025
SKU003,7,41,16-01-2025
SKU004,5,99,19-03-2025
SKU067,3,29,09-01-2025
SKU093,6,38,04-01-2025
SKU018,4,80,04-02-2025
SKU079,5,52,14-02-2025
SKU079,6,96,17-02-2025
SKU061,6,31,25-01-2025
SKU025,2,92,16-01-2025
SKU073,6,63,22-01-2025
SKU042,5,58,24-01-2025
SKU075,4,96,03-01-2025
SKU087,5,22,13-01-2025
SKU007,4,43,10-02-2025
SKU003,3,68,09-03-2025
SKU014,2,86,25-01-2025
SKU037,7,91,28-02-2025
SKU047,5,51,23-03-2025
SKU010,3,88,29-01-2025
SKU081,5,25,28-02-2025
SKU069,6,92,04-03-2025
SKU015,5,79,08-02-2025
SKU029,7,58,19-03-2025
SKU058,3,94,02-03-2025
SKU013,8,76,26-01-2025
SKU078,8,65,13-02-2025
SKU055,3,50,16-01-2025
SKU093,2,73,18-03-2025
SKU069,4,69,02-03-2025
SKU082,4,78,23-01-2025
SKU027,6,89,09-01-2025
SKU011,5,42,25-02-2025
SKU038,6,97,05-03-2025
SKU019,6,57,12-02-2025
SKU042,5,24,08-03-2025
SKU053,9,23,01-03-2025
SKU086,6,57,19-01-2025
SKU054,6,82,29-03-2025
SKU049,2,40,15-02-2025
SKU030,10,78,05-01-2025
SKU083,9,96,04-01-2025
SKU026,7,43,12-03-2025
SKU035,2,23,20-03-2025
SKU079,4,27,25-02-2025
SKU098,6,42,19-02-2025
SKU042,7,65,07-03-2025
SKU027,3,55,08-01-2025
SKU084,6,34,27-02-2025
SKU043,4,78,20-02-2025
SKU037,5,96,03-03-2025
SKU049,7,46,16-03-2025
SKU020,4,57,31-01-2025
SKU039,6,31,21-01-2025
SKU045,1,87,17-01-2025
SKU036,4,56,16-01-2025
SKU038,5,45,29-01-2025
SKU010,2,41,09-02-2025
SKU035,4,28,17-01-2025
SKU089,4,57,28-02-2025
SKU085,6,61,22-01-2025
SKU043,3,65,22-01-2025
SKU026,1,85,11-02-2025
SKU008,6,80,17-03-2025
SKU070,10,27,13-02-2025
SKU051,8,81,12-01-2025
SKU090,5,32,30-03-2025
SKU085,5,92,15-03-2025
SKU053,2,59,06-01-2025
SKU096,4,35,18-03-2025
SKU014,4,48,13-01-2025
SKU069,5,68,16-02-2025
SKU027,2,34,16-01-2025
SKU006,7,84,25-02-2025
SKU004,1,57,21-01-2025
SKU004,6,55,25-02-2025
SKU070,5,20,02-01-2025
SKU018,3,99,04-01-2025
SKU003,6,27,26-02-2025
SKU048,8,58,06-02-2025
SKU033,2,82,13-02-2025
SKU026,4,82,21-01-2025
SKU030,10,88,03-02-2025
SKU020,6,76,29-03-2025
SKU056,4,45,03-02-2025
SKU072,4,93,14-02-2025
SKU090,3,42,06-01-2025
SKU061,2,94,28-03-2025
SKU081,2,37,27-01-2025
SKU067,2,25,26-03-2025
SKU019,5,51,30-03-2025
SKU031,6,21,25-02-2025
SKU054,6,41,01-03-2025
SKU071,4,83,25-01-2025
SKU074,4,52,06-01-2025
SKU014,6,35,28-02-2025
SKU036,4,66,18-02-2025
SKU091,4,89,12-03-2025
SKU057,3,52,24-03-2025
SKU075,5,60,13-01-2025
SKU062,9,65,05-03-2025
SKU039,4,82,12-01-2025
SKU008,8,54,04-01-2025
SKU025,6,44,12-02-2025
SKU005,5,26,30-03-2025
SKU089,3,41,21-03-2025
SKU095,6,32,21-01-2025
SKU034,8,20,22-02-2025
SKU031,6,27,18-01-2025
SKU009,5,67,21-01-2025
SKU093,6,20,27-02-2025
SKU094,7,20,23-03-2025
SKU081,7,95,26-03-2025
SKU080,6,48,14-02-2025
SKU006,3,61,05-03-2025
SKU067,5,64,28-02-2025
SKU091,5,95,17-03-2025
SKU076,10,20,26-01-2025
SKU005,4,51,17-02-2025
SKU007,3,24,23-02-2025
SKU002,3,83,09-01-2025
SKU069,6,94,18-03-2025
SKU058,7,87,24-02-2025
SKU022,4,51,03-02-2025
SKU038,4,65,24-03-2025
SKU093,2,81,23-01-2025
SKU024,4,84,07-01-2025
SKU001,6,66,05-03-2025
SKU076,4,73,10-03-2025
SKU027,4,82,03-02-2025
SKU071,5,23,13-03-2025
SKU074,4,97,03-03-2025
SKU065,2,87,31-03-2025
SKU089,9,97,22-02-2025
SKU080,10,84,14-01-2025
SKU001,4,21,09-01-2025
SKU018,7,82,07-03-2025
SKU072,5,34,03-02-2025
SKU088,4,71,22-01-2025
SKU071,7,54,22-03-2025
SKU046,3,83,18-03-2025
SKU052,6,49,21-03-2025
SKU062,6,75,25-02-2025
SKU010,6,59,21-02-2025
SKU051,11,82,05-02-2025
SKU061,4,77,25-02-2025
SKU014,6,49,11-02-2025
SKU029,3,86,23-02-2025
SKU062,6,41,30-03-2025
SKU077,5,89,13-01-2025
SKU063,2,44,21-02-2025
SKU094,6,59,23-02-2025
SKU040,3,58,04-01-2025
SKU084,5,28,21-03-2025
SKU078,5,54,15-01-2025
SKU032,2,60,10-01-2025
SKU081,5,75,09-02-2025
SKU018,4,72,23-01-2025
SKU075,4,26,15-03-2025
SKU055,3,92,14-03-2025
SKU026,2,96,21-02-2025
SKU037,2,32,19-02-2025
SKU074,14,86,10-03-2025
SKU014,13,57,13-03-2025
SKU024,6,80,02-01-2025
SKU029,11,97,01-01-2025
SKU045,2,44,02-01-2025
SKU069,3,31,17-02-2025
SKU006,6,63,07-01-2025
SKU049,4,83,18-03-2025
SKU086,5,56,08-02-2025
SKU064,3,91,04-03-2025
SKU089,7,85,12-01-2025
SKU097,3,88,13-01-2025
SKU079,7,50,18-03-2025
SKU048,5,99,16-02-2025
SKU006,4,51,02-03-2025
SKU072,8,57,23-01-2025
SKU065,4,38,27-03-2025
SKU080,3,40,18-03-2025
SKU038,7,90,18-02-2025
SKU100,8,61,08-01-2025
SKU014,3,20,20-01-2025
SKU066,4,53,25-01-2025
SKU024,5,31,09-02-2025
SKU076,6,95,07-02-2025
SKU046,6,70,08-01-2025
SKU062,5,51,14-03-2025
SKU089,3,39,29-01-2025
SKU050,3,21,12-03-2025
SKU046,5,54,22-02-2025
SKU019,7,43,20-02-2025
SKU026,3,95,24-01-2025
SKU069,4,27,09-01-2025
SKU024,2,70,22-03-2025
SKU009,4,64,07-01-2025
SKU100,5,47,06-03-2025
SKU071,8,94,23-02-2025
SKU027,2,43,01-03-2025
SKU032,3,20,27-02-2025
SKU025,7,78,10-01-2025
SKU029,3,55,22-02-2025
SKU089,4,39,03-02-2025
SKU057,9,48,15-01-2025
SKU023,3,51,07-01-2025
SKU017,4,90,16-02-2025
SKU094,8,95,18-03-2025
SKU021,3,94,20-01-2025
SKU048,5,38,21-02-2025
SKU052,5,71,13-01-2025
SKU016,1,84,17-01-2025
SKU014,4,22,13-02-2025
SKU043,4,74,09-01-2025
SKU088,2,72,21-02-2025
SKU027,5,36,29-01-2025
SKU022,10,92,09-02-2025
SKU043,4,67,11-03-2025
SKU046,5,35,12-01-2025
SKU029,2,99,12-01-2025
SKU049,7,73,03-01-2025
SKU039,3,97,06-01-2025
SKU056,4,61,02-02-2025
SKU087,6,66,03-02-2025
SKU095,6,22,12-02-2025
SKU039,6,60,19-03-2025
SKU070,4,55,24-03-2025
SKU029,10,94,25-02-2025
SKU069,3,43,28-02-2025
SKU039,6,85,16-03-2025
SKU009,8,55,14-03-2025
SKU089,5,75,04-03-2025
SKU022,4,57,01-02-2025
SKU003,7,37,05-02-2025
SKU026,8,70,27-01-2025
SKU087,7,29,22-01-2025
SKU052,8,97,24-01-2025
SKU004,8,31,20-03-2025
SKU010,7,35,31-03-2025
SKU047,5,78,24-03-2025
SKU023,5,48,30-01-2025
SKU006,6,98,19-03-2025
SKU037,4,56,27-01-2025
SKU036,2,63,27-01-2025
SKU089,9,45,03-01-2025
SKU039,4,23,03-01-2025
SKU076,2,40,15-02-2025
SKU043,4,58,14-02-2025
SKU090,8,77,19-01-2025
SKU011,6,59,26-03-2025
SKU011,8,27,11-01-2025
SKU030,8,94,22-02-2025
SKU002,7,49,02-01-2025
SKU032,6,39,02-02-2025
SKU037,4,47,11-01-2025
SKU076,5,68,23-03-2025
SKU076,3,83,08-02-2025
SKU029,5,53,15-01-2025
SKU087,5,20,17-03-2025
SKU096,10,80,14-03-2025
SKU045,3,69,05-03-2025
SKU021,4,89,03-02-2025
SKU098,3,67,04-01-2025
SKU032,8,94,31-01-2025
SKU040,3,37,05-03-2025
SKU050,4,98,13-02-2025
SKU059,4,69,16-02-2025
SKU063,7,78,28-02-2025
SKU070,10,59,31-01-2025
SKU026,4,67,29-01-2025
SKU019,2,94,17-02-2025
SKU009,4,41,12-02-2025
SKU052,6,48,01-03-2025
SKU017,9,25,21-03-2025
SKU001,3,99,27-02-2025
SKU008,7,32,05-03-2025
SKU080,2,33,27-03-2025
SKU089,2,65,09-02-2025
SKU077,4,64,20-01-2025
SKU038,3,26,13-02-2025
SKU007,9,28,21-01-2025
SKU088,8,30,27-03-2025
SKU077,5,27,29-03-2025
SKU027,3,34,14-03-2025
SKU055,9,91,14-02-2025
SKU064,6,64,02-02-2025
SKU051,2,67,02-02-2025
SKU045,7,60,16-01-2025
SKU023,0,36,09-01-2025
SKU036,5,22,21-02-2025
SKU018,4,24,12-03-2025
SKU032,2,52,05-01-2025
SKU096,4,46,19-01-2025
SKU069,3,22,21-03-2025
SKU051,9,87,05-03-2025
SKU079,6,41,07-03-2025
SKU063,3,65,01-02-2025
SKU065,7,40,13-01-2025
SKU046,4,55,12-02-2025
SKU090,8,97,12-01-2025
SKU068,4,74,23-02-2025
SKU015,5,88,05-02-2025
SKU086,6,32,13-03-2025
SKU065,6,40,15-02-2025
SKU089,5,95,16-02-2025
SKU069,4,79,02-01-2025
SKU096,3,31,24-03-2025
SKU037,5,38,01-01-2025
SKU008,4,59,08-01-2025
SKU083,5,96,01-02-2025
SKU061,8,91,02-01-2025
SKU043,3,89,18-02-2025
SKU016,6,91,20-02-2025
SKU060,4,54,20-01-2025
SKU027,5,66,10-03-2025
SKU096,3,54,20-03-2025
SKU056,6,35,04-02-2025
SKU076,6,64,14-03-2025
SKU065,7,66,30-01-2025
SKU054,4,83,16-01-2025
SKU072,4,89,07-01-2025
SKU071,4,20,07-02-2025
SKU067,4,94,31-01-2025
SKU053,10,94,09-02-2025
SKU046,4,22,17-01-2025
SKU080,5,48,19-01-2025
SKU070,3,37,28-02-2025
SKU025,7,38,17-03-2025
SKU035,1,63,24-02-2025
SKU085,2,98,05-02-2025
SKU084,5,36,16-02-2025
SKU066,6,96,15-01-2025
SKU015,7,77,30-01-2025
SKU051,8,90,31-01-2025
SKU067,3,24,06-02-2025
SKU095,6,73,13-01-2025
SKU070,4,54,04-03-2025
SKU067,3,90,07-02-2025
SKU008,4,42,29-01-2025
SKU076,4,96,04-02-2025
SKU028,2,34,26-03-2025
SKU001,8,94,29-03-2025
SKU074,4,83,27-02-2025
SKU077,5,31,25-02-2025
SKU061,5,79,29-01-2025
SKU068,5,25,08-02-2025
SKU078,4,57,01-03-2025
SKU045,3,93,24-03-2025
SKU049,9,39,23-01-2025
SKU024,2,49,16-03-2025
SKU077,7,69,03-03-2025
SKU097,6,43,21-03-2025
SKU059,4,72,17-03-2025
SKU072,8,93,09-01-2025
SKU066,6,76,10-03-2025
SKU021,4,91,17-02-2025
SKU028,4,85,20-02-2025
SKU057,3,79,25-01-2025
SKU041,6,52,28-01-2025
SKU063,0,39,15-02-2025
SKU063,9,28,06-01-2025
SKU010,6,76,19-02-2025
SKU094,4,40,03-02-2025
SKU066,3,85,30-01-2025
SKU090,7,42,01-01-2025
SKU037,6,47,26-03-2025
SKU014,3,75,09-02-2025
SKU067,4,46,04-02-2025
SKU037,3,62,24-02-2025
SKU061,5,43,16-02-2025
SKU031,5,94,16-03-2025
SKU055,9,37,08-01-2025
SKU088,7,92,05-03-2025
SKU047,1,66,23-02-2025
SKU012,2,76,17-01-2025
SKU035,1,45,31-01-2025
SKU082,5,25,29-03-2025
SKU098,8,49,25-02-2025
SKU080,2,84,30-03-2025
SKU051,6,27,22-03-2025
SKU024,6,37,23-03-2025
SKU065,2,55,06-01-2025
SKU023,2,52,04-02-2025
SKU094,2,66,04-01-2025
SKU045,7,48,13-01-2025
SKU088,5,72,02-03-2025
SKU058,7,47,12-03-2025
SKU069,9,45,12-03-2025
SKU090,2,85,02-03-2025
SKU039,4,97,05-03-2025
SKU012,4,42,04-02-2025
SKU077,6,90,23-03-2025
SKU083,2,45,09-03-2025
SKU060,9,55,18-03-2025
SKU034,8,78,30-03-2025
SKU027,3,46,24-01-2025
SKU044,4,96,21-01-2025
SKU012,7,38,15-01-2025
SKU028,2,71,06-03-2025
SKU098,6,36,06-03-2025
SKU083,2,56,01-03-2025
SKU079,5,80,27-02-2025
SKU089,4,39,04-01-2025
SKU058,9,95,21-02-2025
SKU052,3,22,15-01-2025
SKU094,4,27,05-03-2025
SKU027,4,40,08-02-2025
SKU048,6,29,30-01-2025
SKU016,5,90,11-03-2025
SKU024,5,39,27-03-2025
SKU066,5,45,11-01-2025
SKU015,9,65,02-01-2025
SKU056,4,88,14-02-2025
SKU074,5,24,25-03-2025
SKU095,2,24,27-02-2025
SKU008,8,20,01-01-2025
SKU006,6,63,01-02-2025
SKU097,5,36,08-01-2025
SKU048,4,89,14-03-2025
SKU031,5,61,20-03-2025
SKU064,7,73,06-02-2025
SKU077,6,46,25-01-2025
SKU085,4,75,07-03-2025
SKU062,7,61,20-01-2025
SKU006,6,77,02-02-2025
SKU008,3,70,22-01-2025
SKU037,2,67,17-03-2025
SKU071,10,54,16-02-2025
SKU046,3,50,21-02-2025
SKU017,2,27,22-02-2025
SKU038,5,67,24-01-2025
SKU012,3,77,26-03-2025
SKU069,3,51,17-01-2025
SKU045,8,23,04-02-2025
SKU043,7,84,25-03-2025
SKU027,5,71,27-02-2025
SKU087,6,23,15-02-2025
SKU081,11,62,06-02-2025
SKU054,2,99,07-03-2025
SKU002,10,70,20-01-2025
SKU011,4,40,28-02-2025
SKU078,4,57,23-03-2025
SKU005,6,46,26-03-2025
SKU024,0,57,11-02-2025
SKU029,3,27,13-01-2025
SKU003,3,86,31-01-2025
SKU041,0,76,10-02-2025
SKU001,6,51,27-01-2025
SKU024,5,43,21-02-2025
SKU010,7,83,08-02-2025
SKU039,4,46,09-03-2025
SKU033,5,22,04-03-2025
SKU036,2,77,23-01-2025
SKU089,4,42,10-01-2025
SKU067,3,44,08-03-2025
SKU085,9,76,01-02-2025
SKU077,5,40,18-01-2025
SKU098,8,81,25-03-2025
SKU054,5,50,13-03-2025
SKU072,3,59,15-03-2025
SKU031,2,63,09-01-2025
SKU062,9,35,28-01-2025
SKU039,3,45,17-03-2025
SKU030,5,44,26-01-2025
SKU041,3,24,22-03-2025
SKU002,6,42,11-02-2025
SKU092,3,80,27-01-2025
SKU048,3,58,29-01-2025
SKU044,4,25,07-02-2025
SKU028,5,37,06-01-2025
SKU100,5,73,27-02-2025
SKU015,5,69,18-01-2025
SKU062,4,26,09-01-2025
SKU040,4,69,12-02-2025
SKU080,6,65,16-03-2025
SKU018,4,24,05-02-2025
SKU060,8,73,30-03-2025
SKU036,7,76,26-01-2025
SKU074,3,31,02-03-2025
SKU079,3,51,28-03-2025
SKU046,7,58,19-01-2025
SKU036,3,42,20-01-2025
SKU012,5,57,01-02-2025
SKU051,4,49,29-03-2025
SKU063,7,72,13-01-2025
SKU008,4,93,07-01-2025
SKU023,1,71,24-01-2025
SKU068,4,71,25-02-2025
SKU095,6,81,22-03-2025
SKU022,4,73,24-01-2025
SKU012,5,58,24-03-2025
SKU075,5,73,12-03-2025
SKU016,5,25,08-03-2025
SKU067,9,94,23-03-2025
SKU011,9,56,30-03-2025
SKU092,4,82,25-02-2025
SKU042,4,90,14-01-2025
SKU046,8,54,26-01-2025
SKU009,1,69,13-01-2025
SKU085,2,80,17-03-2025
SKU098,2,71,07-02-2025
SKU018,5,75,19-01-2025
SKU053,9,95,04-03-2025
SKU061,2,35,07-02-2025
SKU092,5,69,06-02-2025
SKU072,1,91,05-03-2025
SKU082,5,94,21-01-2025
SKU100,1,74,30-03-2025
SKU002,7,30,05-03-2025
SKU017,6,20,06-03-2025
SKU057,3,79,26-02-2025
SKU048,3,56,17-01-2025
SKU088,3,30,24-03-2025
SKU034,3,84,21-01-2025
SKU001,7,35,13-02-2025
SKU097,3,45,19-02-2025
SKU053,6,64,28-02-2025
SKU076,8,59,24-03-2025
SKU070,3,41,15-03-2025
SKU034,4,93,24-01-2025
SKU083,4,67,20-03-2025
SKU077,5,25,22-01-2025
SKU049,1,79,10-03-2025
SKU026,5,21,08-02-2025
SKU100,5,67,05-02-2025
SKU017,3,88,13-02-2025
SKU010,5,36,13-02-2025
SKU049,5,86,10-01-2025
SKU024,6,87,31-01-2025
SKU009,4,28,03-03-2025
SKU009,4,69,05-01-2025
SKU054,4,93,24-01-2025
SKU043,5,62,07-01-2025
SKU052,11,43,15-03-2025
SKU068,1,63,18-02-2025
SKU088,5,50,01-02-2025
SKU025,7,24,21-03-2025
SKU015,5,47,27-02-2025
SKU046,6,53,05-03-2025
SKU017,5,78,04-01-2025
SKU091,8,68,25-01-2025
SKU064,8,40,10-02-2025
SKU074,2,29,15-02-2025
SKU084,2,73,10-03-2025
SKU077,4,75,15-03-2025
SKU079,6,37,23-03-2025
SKU027,5,26,31-01-2025
SKU036,2,87,31-03-2025
SKU034,2,84,23-02-2025
SKU021,4,41,25-01-2025
SKU032,7,64,10-02-2025
SKU078,7,49,06-03-2025
SKU091,8,63,08-01-2025
SKU031,6,88,22-02-2025
SKU044,5,90,15-03-2025
SKU004,9,69,17-02-2025
SKU022,3,25,05-01-2025
SKU011,7,61,02-02-2025
SKU013,6,35,13-01-2025
SKU022,3,78,24-02-2025
SKU021,2,86,11-02-2025
SKU058,2,22,10-01-2025
SKU056,10,68,17-03-2025
SKU022,5,89,04-03-2025
SKU016,8,33,12-03-2025
SKU019,1,73,13-02-2025
SKU051,6,59,22-02-2025
SKU003,3,86,03-03-2025
SKU049,3,65,31-01-2025
SKU062,3,25,24-01-2025
SKU073,5,23,01-01-2025
SKU100,9,86,19-03-2025
SKU073,5,26,08-03-2025
SKU042,5,35,17-02-2025
SKU017,6,26,16-03-2025
SKU060,6,93,25-01-2025
SKU092,7,87,01-02-2025
SKU006,4,89,25-03-2025
SKU038,3,98,06-03-2025
SKU006,10,61,30-03-2025
SKU051,2,89,13-01-2025
SKU046,10,36,26-02-2025
SKU068,10,57,30-01-2025
SKU015,8,51,23-03-2025
SKU048,6,58,19-01-2025
SKU025,7,94,03-02-2025
SKU027,5,81,27-03-2025
SKU014,4,47,04-02-2025
SKU048,5,95,17-03-2025
SKU041,4,51,06-03-2025
SKU074,7,99,14-02-2025
SKU032,2,76,21-03-2025
SKU001,4,46,20-01-2025
SKU082,5,81,30-01-2025
SKU044,6,69,27-03-2025
SKU013,4,31,21-01-2025
SKU010,1,71,07-02-2025
SKU092,2,66,19-01-2025
SKU007,6,69,03-01-2025
SKU100,8,36,04-02-2025
SKU071,3,82,20-03-2025
SKU084,4,70,06-02-2025
SKU058,7,41,10-02-2025
SKU046,4,62,28-03-2025
SKU047,2,22,27-02-2025
SKU052,1,54,11-03-2025
SKU096,6,79,30-03-2025
SKU097,3,98,16-02-2025
SKU025,3,26,20-03-2025
SKU089,6,67,15-01-2025
SKU034,5,57,20-03-2025
SKU047,5,39,28-02-2025
SKU082,5,55,11-02-2025
SKU060,7,88,13-02-2025
SKU016,4,58,19-01-2025
SKU076,2,52,29-01-2025
SKU086,6,90,05-01-2025
SKU073,11,38,30-01-2025
SKU004,4,25,30-01-2025
SKU022,2,76,10-03-2025
SKU002,2,80,26-03-2025
SKU045,3,71,05-01-2025
SKU007,7,95,06-01-2025
SKU029,3,91,23-01-2025
SKU029,3,92,20-03-2025
SKU052,7,94,14-02-2025
SKU076,5,29,16-01-2025
SKU083,3,79,04-03-2025
SKU008,4,98,03-01-2025
SKU091,4,57,29-01-2025
SKU062,8,62,20-02-2025
SKU007,10,42,22-02-2025
SKU062,4,69,18-02-2025
SKU093,7,30,19-02-2025
SKU060,7,57,27-02-2025
SKU077,2,98,14-01-2025
SKU009,6,69,16-03-2025
SKU092,6,29,07-03-2025
